gene.name	A549_0_1	A549_0_2	A549_0_3	A549_25_1	A549_25_2	A549_25_3	
ENSG00000285629.1	0	0	0	0	0	0	
ENSG00000116251.10	4201	4440	3775	4591	4159	3699	
ENSG00000226944.1	39	46	45	48	28	31	
ENSG00000158286.12	2073	2034	2212	2260	2075	2162	
ENSG00000116237.15	8858	10157	8105	8851	9135	7975	
ENSG00000225077.3	113	93	90	88	75	69	
ENSG00000173673.7	0	0	0	0	0	0	
ENSG00000158292.6	232	246	190	219	191	162	
ENSG00000097021.19	2390	2766	2812	2715	2960	2575	
ENSG00000271746.1	3	3	1	2	3	3	
ENSG00000069812.11	110	107	99	119	105	128	
ENSG00000187017.16	11	14	10	7	10	8	
ENSG00000265392.1	0	0	0	0	0	0	
ENSG00000231868.1	0	0	0	0	0	0	
ENSG00000215788.10	286	290	219	307	255	211	
ENSG00000171680.21	624	621	483	689	570	522	
ENSG00000162408.10	1128	1182	1212	1182	1032	1097	
ENSG00000253022.1	0	0	0	0	0	0	
ENSG00000229519.2	0	0	0	1	0	0	
ENSG00000173662.20	3	0	1	2	0	0	
ENSG00000204859.12	624	674	529	634	649	640	
ENSG00000162413.16	1760	1847	1665	1869	1728	1607	
ENSG00000116273.5	1469	1630	1260	1656	1450	1233	
ENSG00000041988.15	542	647	592	530	591	609	
ENSG00000007923.15	4247	4820	4609	5004	4843	4492	
ENSG00000228750.6	0	0	0	0	0	1	
ENSG00000284744.1	0	0	0	0	0	0	
ENSG00000237436.1	12	21	10	13	10	10	
ENSG00000171735.18	1477	1611	1234	1630	1412	1162	
ENSG00000227950.1	0	0	0	0	0	0	
ENSG00000237365.1	0	0	0	0	0	0	
ENSG00000207056.1	0	0	0	0	0	0	
ENSG00000237402.1	2	1	0	0	0	2	
ENSG00000237728.2	0	0	0	0	0	0	
ENSG00000225126.1	0	0	0	0	0	0	
ENSG00000270171.1	0	0	0	0	0	0	
ENSG00000270035.1	0	0	0	0	0	1	
ENSG00000269978.1	2	2	0	0	1	0	
ENSG00000049245.12	5065	5567	4997	5500	5397	4563	
ENSG00000269925.1	18	14	15	17	22	21	
ENSG00000049246.14	326	322	264	285	285	237	
ENSG00000236266.1	0	0	0	0	0	0	
ENSG00000049247.13	0	0	1	1	0	1	
ENSG00000049249.8	135	117	234	114	109	247	
ENSG00000270330.1	0	0	0	0	0	0	
ENSG00000116288.12	11462	12617	11332	12561	12380	11489	
ENSG00000200344.1	0	0	0	0	0	0	
ENSG00000284747.1	60	28	71	46	52	61	
ENSG00000284716.1	0	0	2	1	1	2	
ENSG00000116285.12	5055	6552	5715	10026	10174	7940	
ENSG00000238290.1	18	6	13	28	46	20	
ENSG00000232848.1	0	2	2	1	0	1	
ENSG00000229305.1	1	0	0	0	0	0	
ENSG00000227634.2	2	4	1	6	3	5	
ENSG00000200975.1	0	0	0	0	0	0	
ENSG00000233645.1	0	0	0	0	0	0	
ENSG00000251977.1	0	0	0	0	0	0	
ENSG00000162426.14	171	148	156	162	164	142	
ENSG00000252254.1	3	0	0	1	0	0	
ENSG00000142599.17	3631	4154	3059	4193	3969	2857	
ENSG00000232912.5	3	2	2	0	0	0	
ENSG00000221083.1	0	0	0	0	0	0	
ENSG00000270282.1	0	0	0	0	0	0	
ENSG00000234619.1	5	0	2	1	0	1	
ENSG00000224315.2	2	0	1	2	0	1	
ENSG00000222511.2	0	0	0	0	0	0	
ENSG00000226545.1	0	0	0	0	0	0	
ENSG00000228423.2	1	0	0	0	0	0	
ENSG00000229716.2	0	0	0	0	0	0	
ENSG00000074800.15	169776	191044	169964	177275	184650	162953	
ENSG00000274258.1	1	2	2	5	1	0	
ENSG00000230679.1	11	7	10	12	19	12	
ENSG00000201725.1	0	0	0	0	0	0	
ENSG00000238249.2	10	35	16	21	17	16	
ENSG00000232208.2	34	43	38	37	32	44	
ENSG00000232663.2	0	0	0	0	0	0	
ENSG00000131686.14	0	0	0	0	1	0	
